Validation paper,CPM,Validation,Development,Implementation
Performance of the QRISK cardiovascular risk prediction algorithm in an independent UK sample of patients from general practice: a validation study,QRISK,Multiple Imputation,Multiple Imputation,Imputed by mean
An independent and external validation of QRISK2 cardiovascular disease risk score: a prospective open cohort study,QRISK,Multiple Imputation,Multiple Imputation,Imputed by mean
Predicting the 10 year risk of cardiovascular disease in the UK: independent and external validation of an updated version of QRISK2,QRISK,Multiple Imputation,Multiple Imputation,Imputed by mean
An independent external validation and evaluation of QRISK CVD risk prediction: a prospective open cohort study,QRISK,Multiple Imputation,Multiple Imputation,Imputed by mean
Ethnicity and prediction of cardiovascular disease: performance of QRISK2 and FraMultiple Imputationngham scores in a UK tri-ethnic prospective cohort study (SABRE—Southall And Brent REvisited) ,QRISK,Complete Case Analysis,Multiple Imputation,Imputed by mean
Unfavourable cardiovascular disease risk profiles in a cohort of Dutch and British haemophilia patients,QRISK,Multiple Imputation,Multiple Imputation,Imputed by mean
The performance of seven Qprediction risk scores in an independent external sample of patients from general practice: a validation study ,QRISK,Multiple Imputation,Multiple Imputation,Imputed by mean
Evaluating Cardiovascular Disease (CVD) risk scores for participants with known CVD and non-CVD in a multiracial/ethnic Caribbean sample,QRISK,Complete Case Analysis,Multiple Imputation,Imputed by mean
QRISK2 Score in CABG Patients Correlated with Risk Factors,QRISK,Not reported,Multiple Imputation,Imputed by mean
Thoracoscore predicts midterm mortality in patients undergoing thoracic surgery,Thoracoscore,Not reported,Complete Case Analysis,Model requires all data
Thoracoscore fails to predict complications following elective lung resection,Thoracoscore,Multiple Imputation,Complete Case Analysis,Model requires all data
External validation of the modificied Thoracoscore in a new thoracic surgery program: prediction of in-hospital mortality,Thoracoscore,Not reported,Complete Case Analysis,Model requires all data
Accuracy of two scoring systems for risk stratification in thoracic surgery,Thoracoscore,Complete Case Analysis,Complete Case Analysis,Model requires all data
Could Thoracoscore predict postoperative mortality in patients undergoing pneumonectomy?,Thoracoscore,Not reported,Complete Case Analysis,Model requires all data
Predicting death from surgery for lung cancer: A comparison of two scoring systems in two European countries,Thoracoscore,Multiple Imputation,Complete Case Analysis,Model requires all data
Impact of preoperative pulmonary rehabilitation on the Thoracoscore of patients undergoing lung resection,Thoracoscore,Not reported,Complete Case Analysis,Model requires all data
Thoracoscore and European Society Objective Score Fail to Predict Mortality in the UK,Thoracoscore,Complete Case Analysis,Complete Case Analysis,Model requires all data
Validation and update of the thoracic surgery scoring system (Thoracoscore) risk model,Thoracoscore,Complete Case Analysis,Complete Case Analysis,Model requires all data
The Nottingham Prognostic Index in Primary breast cancer,NPI,Not reported,Complete Case Analysis,Model requires all data
Confirmation of a prognostic index in primary breast cancer,NPI,Not reported,Complete Case Analysis,Model requires all data
Survival of invasive breast cancer according to the Nottingham Prognostic Index in cases diagnosed in 1990-1999,NPI,Complete Case Analysis,Complete Case Analysis,Model requires all data
"The Nottingham Prognostic Index applied to 9,149 patients from the studies of the Danish Breast Cancer Cooperative Group (DBCG)",NPI,Not reported,Complete Case Analysis,Model requires all data
Prognostic factors in breast cancer: the predictive value of the Nottingham Prognostic Index in patients with a long-term follow-up that were treated in a single institution. ,NPI,Complete Case Analysis,Complete Case Analysis,Model requires all data
Applying the Nottingham Prognostic Index to a Swedish breast cancer population,NPI,Not reported,Complete Case Analysis,Model requires all data
Nottingham Prognostic Index in Triple-Negative Breast Cancer: a reliable prognostic tool?,NPI,Not reported,Complete Case Analysis,Model requires all data
"Qualitative Assessment of the Progesterone Receptor and
HER2 Improves the Nottingham Prognostic Index Up to 5
Years After Breast Cancer Diagnosis",NPI,Complete Case Analysis,Complete Case Analysis,Model requires all data
Nottingham prognostic index plus: validation of a clinical decision making tool in breast cancer in an independent series,NPI,Complete Case Analysis,Complete Case Analysis,Model requires all data
The prognostic performance of Adjuvant! Online and Nottingham Prognostic Index in young breast cancer patients,NPI,Complete Case Analysis,Complete Case Analysis,Model requires all data
External validation of two diabetes risk scores in a young UK South Asian population,Diabetes Score,Not reported,Complete Case Analysis,Model requires all data
External national validation of the Leicester Self-Assessment score for Type 2 diabetes using datafrom the English Longitudinal Study of Ageing,Diabetes Score,Complete Case Analysis,Complete Case Analysis,Model requires all data
A population-based validation of the prognostic model PREDICT for early breast cancer,PREDICT,Complete Case Analysis,Complete Case Analysis,Model requires all data
Validity of the online PREDICT tool in older patients with breast cancer: a population-based study,PREDICT,Other Imputation Methods,Complete Case Analysis,Model requires all data
Inclusion of KI67 significantly improves performance of the PREDICT prognostication and prediction model for early breast cancer,PREDICT,Other Imputation Methods,Complete Case Analysis,Model requires all data
The Predictive Accuracy of PREDICT: A Personalized Decision-Making Tool for Southeast Asian Women With Breast Cancer,PREDICT,Complete Case Analysis,Complete Case Analysis,Model requires all data
An evaludation of the prognostic model PREDICT using the POSH cohort of women aged less than 40 years at breast cancer diagnosis,PREDICT,Complete Case Analysis,Complete Case Analysis,Model requires all data
Accuracy of the online prognostication tools PREDICT and Adjuvant! for early-stage breast cancer patients younger than 50 years,PREDICT,Complete Case Analysis,Complete Case Analysis,Model requires all data
Validation of the online prediction tool PREDICT v. 2.0 in the Dutch breast cancer population,PREDICT,Complete Case Analysis,Complete Case Analysis,Model requires all data
Underestimated survival predictions of the prognostic tools Adjuvant! Online and PREDICT in BRCA1-associated breast cancer patients,PREDICT,Not reported,Complete Case Analysis,Model requires all data
"Independent validation of the PREDICT breast cancer prognosis prediction tool in 45,789 patients using Scottish Cancer Registry Data",PREDICT,Other Imputation Methods,Complete Case Analysis,Model requires all data
External validation of the PREDICT tool in Spanish women with breast cancer participating in population-based screening programmes,PREDICT,Complete Case Analysis,Complete Case Analysis,Model requires all data
Outpatient management of patients with low-risk upper-gastrointestinal haemorrhage: multicentre validation and prospective evaluation,Blatchford,Complete Case Analysis,Not reported,Model requires all data
Comparing the Blatchford and pre-endoscopic Rockall score inpredicting the need for endoscopic therapy in patients with upperGI hemorrhage,Blatchford,Complete Case Analysis,Not reported,Model requires all data
The AIMS65 score compared with the Glasgow-Blatchford score in predicting outcomes in upper GI bleeding,Blatchford,Complete Case Analysis,Not reported,Model requires all data
Performance of the Glasgow-Blatchford score in predicting clinical outcomes and intervention in hospitalized patients with upper GI bleeding,Blatchford,Not reported,Not reported,Model requires all data
The Glasgow Blatchford Score Is the Most Accurate Assessment of Patients With Upper Gastrointestinal Hemorrhage,Blatchford,Complete Case Analysis,Not reported,Model requires all data
External validation of the Glasgow-Blatchford Bleeding Score and the Rockall Score in the US setting,Blatchford,Complete Case Analysis,Not reported,Model requires all data
The Glasgow Blatchford scoring system enables accurate risk stratification of patients with upper gastrointestinal haemorrhage,Blatchford,Complete Case Analysis,Not reported,Model requires all data
Risk stratification in acute upper GI bleeding: comparison of theAIMS65 score with the Glasgow-Blatchford and Rockallscoring systems,Blatchford,Complete Case Analysis,Not reported,Model requires all data
Predictive validity of the Glasgow Blatchford Bleeding Score in an unselected emergency department population in continental Europe,Blatchford,Other Imputation Methods,Not reported,Model requires all data
Management of Multiple Imputationnor upper gastrointestinal haemorrhage in the community using the Glasgow Blatchford Score,Blatchford,Not reported,Not reported,Model requires all data
Validation and refinement of scores to predict very early stroke risk after transient ischaeMultiple Imputationc attack,ABCD2,Not reported,Complete Case Analysis,Missing values considered normal
